,session_id,month,weekYear,season,item_id,duration,timestamps,item_ids,durations
45,12654.0,4.0,15,1.0,"[26625.0, 15093.0]","[1.0, 1.0]","[1586368807.877, 1586377105.958]","[[26625.0, 15093.0, 26625.0, 15093.0]]","[[1.0, 1.0, 1.0, 1.0]]"
46,12759.0,1.0,03,4.0,"[24971.0, 7848.0]","[1.0, 1.0]","[1611087958.863, 1611088419.865]","[[24971.0, 7848.0, 24971.0, 7848.0]]","[[1.0, 1.0, 1.0, 1.0]]"
47,12985.0,12.0,51,4.0,"[22436.0, 18311.0, 19908.0]","[1.0, 1.0, 40.0]","[1608242826.099, 1608243141.039, 1608243962.606]","[[22436.0, 18311.0, 19908.0, 22436.0], [19908.0, 22436.0, 18311.0, 19908.0]]","[[1.0, 1.0, 40.0, 1.0], [40.0, 1.0, 1.0, 40.0]]"
48,13331.0,1.0,05,4.0,"[3809.0, 26591.0]","[1.0, 1.0]","[1580327422.475, 1580331473.559]","[[3809.0, 26591.0, 3809.0, 26591.0]]","[[1.0, 1.0, 1.0, 1.0]]"
49,13441.0,8.0,33,2.0,"[2184.0, 11728.0]","[1.0, 1.0]","[1597430983.511, 1597432024.243]","[[2184.0, 11728.0, 2184.0, 11728.0]]","[[1.0, 1.0, 1.0, 1.0]]"
50,13679.0,4.0,15,1.0,"[23351.0, 26062.0]","[1.0, 1.0]","[1586247237.624, 1586247381.953]","[[23351.0, 26062.0, 23351.0, 26062.0]]","[[1.0, 1.0, 1.0, 1.0]]"
51,13697.0,4.0,16,1.0,"[13614.0, 24622.0]","[1.0, 1.0]","[1586780922.418, 1586784463.357]","[[13614.0, 24622.0, 13614.0, 24622.0]]","[[1.0, 1.0, 1.0, 1.0]]"
52,13856.0,5.0,21,1.0,"[13709.0, 27831.0]","[1.0, 1.0]","[1622106483.73, 1622106545.271]","[[13709.0, 27831.0, 13709.0, 27831.0]]","[[1.0, 1.0, 1.0, 1.0]]"
53,14016.0,10.0,42,3.0,"[3881.0, 2153.0]","[1.0, 1.0]","[1602778345.791, 1602778350.798]","[[3881.0, 2153.0, 3881.0, 2153.0]]","[[1.0, 1.0, 1.0, 1.0]]"
54,14121.0,12.0,51,4.0,"[914.0, 7619.0]","[1.0, 1.0]","[1608003857.33, 1608003886.617]","[[914.0, 7619.0, 914.0, 7619.0]]","[[1.0, 1.0, 1.0, 1.0]]"
55,14758.0,2.0,06,4.0,"[1944.0, 3102.0]","[502.0, 1.0]","[1612986764.846, 1612986788.585]","[[1944.0, 3102.0, 1944.0, 3102.0]]","[[502.0, 1.0, 502.0, 1.0]]"
56,15168.0,3.0,12,1.0,"[11073.0, 10924.0]","[1.0, 256.0]","[1584721946.109, 1584736713.961]","[[11073.0, 10924.0, 11073.0, 10924.0]]","[[1.0, 256.0, 1.0, 256.0]]"
57,16140.0,5.0,21,1.0,"[7640.0, 2424.0]","[1080.0, 1.0]","[1621948201.761, 1621948901.774]","[[7640.0, 2424.0, 7640.0, 2424.0]]","[[1080.0, 1.0, 1080.0, 1.0]]"
58,16158.0,12.0,49,4.0,"[4222.0, 8845.0]","[1.0, 1.0]","[1606918400.3, 1606918878.713]","[[4222.0, 8845.0, 4222.0, 8845.0]]","[[1.0, 1.0, 1.0, 1.0]]"
59,17196.0,4.0,16,1.0,"[24939.0, 24939.0]","[288.0, 1.0]","[1586927492.593, 1586943656.563]","[[24939.0, 24939.0, 24939.0, 24939.0]]","[[288.0, 1.0, 288.0, 1.0]]"
60,17722.0,4.0,15,1.0,"[11455.0, 16660.0]","[1.0, 1.0]","[1586288092.777, 1586290876.719]","[[11455.0, 16660.0, 11455.0, 16660.0]]","[[1.0, 1.0, 1.0, 1.0]]"
61,18306.0,11.0,48,3.0,"[20070.0, 1902.0]","[1.0, 1.0]","[1606464213.944, 1606464468.417]","[[20070.0, 1902.0, 20070.0, 1902.0]]","[[1.0, 1.0, 1.0, 1.0]]"
62,18978.0,6.0,23,2.0,"[17510.0, 16089.0]","[1.0, 1.0]","[1591022440.9, 1591023072.012]","[[17510.0, 16089.0, 17510.0, 16089.0]]","[[1.0, 1.0, 1.0, 1.0]]"
63,19073.0,5.0,19,1.0,"[15926.0, 7625.0]","[1.0, 1.0]","[1621000068.567, 1621001320.006]","[[15926.0, 7625.0, 15926.0, 7625.0]]","[[1.0, 1.0, 1.0, 1.0]]"
64,19208.0,5.0,22,1.0,"[23180.0, 4123.0]","[184.0, 1.0]","[1590489694.712, 1590489972.969]","[[23180.0, 4123.0, 23180.0, 4123.0]]","[[184.0, 1.0, 184.0, 1.0]]"
65,19307.0,7.0,27,2.0,"[10251.0, 19227.0]","[1.0, 1129.0]","[1593983898.098, 1593984021.091]","[[10251.0, 19227.0, 10251.0, 19227.0]]","[[1.0, 1129.0, 1.0, 1129.0]]"
66,19416.0,11.0,48,3.0,"[3338.0, 26012.0]","[1.0, 1.0]","[1606647756.527, 1606678520.763]","[[3338.0, 26012.0, 3338.0, 26012.0]]","[[1.0, 1.0, 1.0, 1.0]]"
67,20361.0,2.0,07,4.0,"[16187.0, 16187.0]","[1.0, 1.0]","[1581766756.678, 1581767435.58]","[[16187.0, 16187.0, 16187.0, 16187.0]]","[[1.0, 1.0, 1.0, 1.0]]"
68,20840.0,4.0,17,1.0,"[6625.0, 18511.0]","[1.0, 1.0]","[1619461315.057, 1619467078.514]","[[6625.0, 18511.0, 6625.0, 18511.0]]","[[1.0, 1.0, 1.0, 1.0]]"
69,20914.0,4.0,16,1.0,"[26601.0, 19427.0]","[1.0, 1.0]","[1619009744.927, 1619013099.355]","[[26601.0, 19427.0, 26601.0, 19427.0]]","[[1.0, 1.0, 1.0, 1.0]]"
70,21037.0,5.0,19,1.0,"[2807.0, 16767.0]","[249.0, 1.0]","[1620894229.2, 1620894307.185]","[[2807.0, 16767.0, 2807.0, 16767.0]]","[[249.0, 1.0, 249.0, 1.0]]"
71,22037.0,11.0,48,3.0,"[3119.0, 20949.0]","[1.0, 1.0]","[1606142420.857, 1606142721.738]","[[3119.0, 20949.0, 3119.0, 20949.0]]","[[1.0, 1.0, 1.0, 1.0]]"
72,22460.0,6.0,23,2.0,"[2241.0, 14259.0, 18163.0, 14997.0]","[912.0, 1.0, 1.0, 1.0]","[1591188609.78, 1591188776.548, 1591189129.837, 1591191032.311]","[[2241.0, 14259.0, 18163.0, 14997.0]]","[[912.0, 1.0, 1.0, 1.0]]"
73,22813.0,11.0,49,3.0,"[17557.0, 3571.0, 12588.0, 6447.0, 10165.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1606759071.978, 1606759339.833, 1606759573.941, 1606759811.898, 1606760309.604]","[[17557.0, 3571.0, 12588.0, 6447.0], [3571.0, 12588.0, 6447.0, 10165.0]]","[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]"
74,22957.0,5.0,18,1.0,"[22515.0, 22665.0]","[1.0, 1.0]","[1620225856.777, 1620227373.536]","[[22515.0, 22665.0, 22515.0, 22665.0]]","[[1.0, 1.0, 1.0, 1.0]]"
75,23035.0,10.0,42,3.0,"[3236.0, 8622.0]","[1.0, 1.0]","[1602925466.117, 1602925759.254]","[[3236.0, 8622.0, 3236.0, 8622.0]]","[[1.0, 1.0, 1.0, 1.0]]"
76,23048.0,6.0,26,2.0,"[12705.0, 5868.0]","[1.0, 1.0]","[1592894369.683, 1592894430.082]","[[12705.0, 5868.0, 12705.0, 5868.0]]","[[1.0, 1.0, 1.0, 1.0]]"
77,23288.0,5.0,19,1.0,"[797.0, 7963.0, 797.0]","[1.0, 1.0, 1.0]","[1620896603.523, 1620896725.386, 1620898045.206]","[[797.0, 7963.0, 797.0, 797.0], [797.0, 797.0, 7963.0, 797.0]]","[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]"
78,23695.0,9.0,38,3.0,"[18705.0, 27010.0]","[1.0, 1.0]","[1600379828.705, 1600379992.779]","[[18705.0, 27010.0, 18705.0, 27010.0]]","[[1.0, 1.0, 1.0, 1.0]]"
79,23987.0,4.0,17,1.0,"[27873.0, 11378.0]","[1.0, 1.0]","[1619644962.842, 1619646141.172]","[[27873.0, 11378.0, 27873.0, 11378.0]]","[[1.0, 1.0, 1.0, 1.0]]"
80,24017.0,11.0,48,3.0,"[9740.0, 9692.0, 17990.0, 6447.0, 13516.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[1606612275.605, 1606631045.494, 1606631580.506, 1606678176.985, 1606678504.547]","[[9740.0, 9692.0, 17990.0, 6447.0], [9692.0, 17990.0, 6447.0, 13516.0]]","[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]"
81,24158.0,10.0,44,3.0,"[13708.0, 15531.0, 17858.0]","[171.0, 1.0, 1.0]","[1604064699.126, 1604065131.885, 1604065437.835]","[[13708.0, 15531.0, 17858.0, 13708.0], [17858.0, 13708.0, 15531.0, 17858.0]]","[[171.0, 1.0, 1.0, 171.0], [1.0, 171.0, 1.0, 1.0]]"
82,24235.0,4.0,14,1.0,"[27710.0, 12368.0, 4130.0, 4758.0]","[1.0, 1.0, 1.0, 1.0]","[1618043568.581, 1618043643.436, 1618044346.205, 1618044372.688]","[[27710.0, 12368.0, 4130.0, 4758.0]]","[[1.0, 1.0, 1.0, 1.0]]"
83,24331.0,12.0,52,4.0,"[9980.0, 9980.0]","[1.0, 1.0]","[1608818726.616, 1608819044.839]","[[9980.0, 9980.0, 9980.0, 9980.0]]","[[1.0, 1.0, 1.0, 1.0]]"
84,24352.0,4.0,15,1.0,"[22196.0, 22196.0, 2664.0, 5370.0]","[1.0, 1.0, 1.0, 1.0]","[1586318509.422, 1586319131.993, 1586319393.518, 1586319531.348]","[[22196.0, 22196.0, 2664.0, 5370.0]]","[[1.0, 1.0, 1.0, 1.0]]"
85,24359.0,12.0,53,4.0,"[3422.0, 17624.0, 16020.0]","[380.0, 25.0, 1.0]","[1609407810.769, 1609407872.145, 1609408108.381]","[[3422.0, 17624.0, 16020.0, 3422.0], [16020.0, 3422.0, 17624.0, 16020.0]]","[[380.0, 25.0, 1.0, 380.0], [1.0, 380.0, 25.0, 1.0]]"
86,24494.0,2.0,06,4.0,"[8406.0, 17916.0]","[1.0, 1.0]","[1613208318.981, 1613208601.657]","[[8406.0, 17916.0, 8406.0, 17916.0]]","[[1.0, 1.0, 1.0, 1.0]]"
87,24653.0,5.0,20,1.0,"[18981.0, 19580.0]","[1.0, 1.0]","[1621629125.439, 1621629130.247]","[[18981.0, 19580.0, 18981.0, 19580.0]]","[[1.0, 1.0, 1.0, 1.0]]"
88,25188.0,3.0,13,1.0,"[11621.0, 5900.0]","[1.0, 1.0]","[1584930073.42, 1584960992.759]","[[11621.0, 5900.0, 11621.0, 5900.0]]","[[1.0, 1.0, 1.0, 1.0]]"
89,25718.0,8.0,33,2.0,"[27353.0, 1682.0]","[1.0, 1.0]","[1597178100.968, 1597178289.58]","[[27353.0, 1682.0, 27353.0, 1682.0]]","[[1.0, 1.0, 1.0, 1.0]]"
90,25791.0,5.0,19,1.0,"[4063.0, 14971.0]","[1.0, 1.0]","[1621013879.394, 1621013927.081]","[[4063.0, 14971.0, 4063.0, 14971.0]]","[[1.0, 1.0, 1.0, 1.0]]"
91,25922.0,5.0,19,1.0,"[22747.0, 2419.0]","[1.0, 1.0]","[1620841297.65, 1620841690.851]","[[22747.0, 2419.0, 22747.0, 2419.0]]","[[1.0, 1.0, 1.0, 1.0]]"
92,26222.0,1.0,02,4.0,"[17804.0, 14819.0]","[1.0, 560.0]","[1578560273.54, 1578561350.058]","[[17804.0, 14819.0, 17804.0, 14819.0]]","[[1.0, 560.0, 1.0, 560.0]]"
93,26427.0,1.0,04,4.0,"[15765.0, 5639.0]","[1.0, 1.0]","[1579516895.98, 1579517137.04]","[[15765.0, 5639.0, 15765.0, 5639.0]]","[[1.0, 1.0, 1.0, 1.0]]"
94,26896.0,10.0,42,3.0,"[23285.0, 5075.0]","[1.0, 1.0]","[1602518630.676, 1602519550.246]","[[23285.0, 5075.0, 23285.0, 5075.0]]","[[1.0, 1.0, 1.0, 1.0]]"
95,26957.0,7.0,27,2.0,"[27430.0, 8505.0]","[1.0, 1.0]","[1593950106.812, 1593950819.197]","[[27430.0, 8505.0, 27430.0, 8505.0]]","[[1.0, 1.0, 1.0, 1.0]]"
96,27005.0,6.0,25,2.0,"[23075.0, 17390.0]","[1.0, 1.0]","[1592764673.643, 1592764806.49]","[[23075.0, 17390.0, 23075.0, 17390.0]]","[[1.0, 1.0, 1.0, 1.0]]"
97,27135.0,11.0,48,3.0,"[2235.0, 19729.0]","[1.0, 1.0]","[1606679214.246, 1606679283.137]","[[2235.0, 19729.0, 2235.0, 19729.0]]","[[1.0, 1.0, 1.0, 1.0]]"
98,27799.0,5.0,19,1.0,"[5264.0, 18324.0]","[1.0, 1.0]","[1620778697.621, 1620828850.106]","[[5264.0, 18324.0, 5264.0, 18324.0]]","[[1.0, 1.0, 1.0, 1.0]]"
99,28268.0,4.0,13,1.0,"[16766.0, 17276.0]","[1.0, 1.0]","[1617443462.108, 1617444567.838]","[[16766.0, 17276.0, 16766.0, 17276.0]]","[[1.0, 1.0, 1.0, 1.0]]"
100,28431.0,1.0,04,4.0,"[27409.0, 806.0]","[1.0, 1.0]","[1611586018.124, 1611600865.563]","[[27409.0, 806.0, 27409.0, 806.0]]","[[1.0, 1.0, 1.0, 1.0]]"
101,28856.0,12.0,50,4.0,"[23009.0, 13562.0, 12893.0]","[1.0, 1.0, 1955.0]","[1607762270.797, 1607762429.267, 1607763259.334]","[[23009.0, 13562.0, 12893.0, 23009.0], [12893.0, 23009.0, 13562.0, 12893.0]]","[[1.0, 1.0, 1955.0, 1.0], [1955.0, 1.0, 1.0, 1955.0]]"
102,29608.0,8.0,32,2.0,"[3208.0, 4160.0]","[1.0, 975.0]","[1596549944.193, 1596549962.258]","[[3208.0, 4160.0, 3208.0, 4160.0]]","[[1.0, 975.0, 1.0, 975.0]]"
103,29715.0,1.0,04,4.0,"[14928.0, 14798.0]","[1.0, 1.0]","[1579508458.773, 1579508700.026]","[[14928.0, 14798.0, 14928.0, 14798.0]]","[[1.0, 1.0, 1.0, 1.0]]"
104,29977.0,10.0,43,3.0,"[19130.0, 8004.0, 3094.0]","[1.0, 1.0, 284.0]","[1603541051.913, 1603541302.665, 1603541528.302]","[[19130.0, 8004.0, 3094.0, 19130.0], [3094.0, 19130.0, 8004.0, 3094.0]]","[[1.0, 1.0, 284.0, 1.0], [284.0, 1.0, 1.0, 284.0]]"
105,30005.0,4.0,17,1.0,"[4734.0, 16878.0]","[1.0, 1.0]","[1587405160.927, 1587405197.315]","[[4734.0, 16878.0, 4734.0, 16878.0]]","[[1.0, 1.0, 1.0, 1.0]]"
106,30753.0,3.0,11,1.0,"[8981.0, 26836.0]","[430.0, 213.0]","[1616250978.814, 1616251331.303]","[[8981.0, 26836.0, 8981.0, 26836.0]]","[[430.0, 213.0, 430.0, 213.0]]"
107,31025.0,5.0,22,1.0,"[1515.0, 16877.0]","[72.0, 1.0]","[1622450384.384, 1622454775.346]","[[1515.0, 16877.0, 1515.0, 16877.0]]","[[72.0, 1.0, 72.0, 1.0]]"
108,31360.0,1.0,03,4.0,"[22949.0, 500.0, 4989.0]","[1.0, 1.0, 1.0]","[1579295634.575, 1579295805.746, 1579295853.305]","[[22949.0, 500.0, 4989.0, 22949.0], [4989.0, 22949.0, 500.0, 4989.0]]","[[1.0, 1.0, 1.0, 1.0], [1.0, 1.0, 1.0, 1.0]]"
109,31538.0,2.0,07,4.0,"[27463.0, 5981.0]","[120.0, 315.0]","[1613767059.449, 1613767280.525]","[[27463.0, 5981.0, 27463.0, 5981.0]]","[[120.0, 315.0, 120.0, 315.0]]"
110,31553.0,6.0,24,2.0,"[11651.0, 22403.0]","[601.0, 1.0]","[1591998699.756, 1591998940.395]","[[11651.0, 22403.0, 11651.0, 22403.0]]","[[601.0, 1.0, 601.0, 1.0]]"
111,31944.0,12.0,52,4.0,"[2824.0, 13086.0]","[1.0, 1.0]","[1609059998.866, 1609060086.904]","[[2824.0, 13086.0, 2824.0, 13086.0]]","[[1.0, 1.0, 1.0, 1.0]]"
112,32073.0,2.0,07,4.0,"[25794.0, 26036.0]","[1.0, 546.0]","[1581729934.361, 1581730314.871]","[[25794.0, 26036.0, 25794.0, 26036.0]]","[[1.0, 546.0, 1.0, 546.0]]"
113,32291.0,1.0,04,4.0,"[8861.0, 16626.0]","[1.0, 1.0]","[1612042664.733, 1612042820.947]","[[8861.0, 16626.0, 8861.0, 16626.0]]","[[1.0, 1.0, 1.0, 1.0]]"
114,32550.0,4.0,14,1.0,"[19272.0, 20137.0]","[1.0, 1243.0]","[1617608713.065, 1617610411.651]","[[19272.0, 20137.0, 19272.0, 20137.0]]","[[1.0, 1243.0, 1.0, 1243.0]]"
115,32646.0,8.0,35,2.0,"[1273.0, 5598.0]","[1.0, 1.0]","[1598480749.612, 1598481293.144]","[[1273.0, 5598.0, 1273.0, 5598.0]]","[[1.0, 1.0, 1.0, 1.0]]"
