,session_id,month,weekYear,season,item_id,duration,item_ids,durations
16,4941.0,6.0,23,2.0,"[18058.0, 15740.0]","[1.0, 1.0]","[18058.0, 15740.0, 18058.0, 15740.0]","[1.0, 1.0, 1.0, 1.0]"
17,5050.0,2.0,08,4.0,"[5408.0, 7525.0, 23065.0]","[1.0, 270.0, 1.0]","[5408.0, 7525.0, 23065.0, 5408.0]","[1.0, 270.0, 1.0, 1.0]"
18,5050.0,2.0,08,4.0,"[5408.0, 7525.0, 23065.0]","[1.0, 270.0, 1.0]","[23065.0, 5408.0, 7525.0, 23065.0]","[1.0, 1.0, 270.0, 1.0]"
19,5266.0,6.0,23,2.0,"[3774.0, 24243.0]","[1.0, 1.0]","[3774.0, 24243.0, 3774.0, 24243.0]","[1.0, 1.0, 1.0, 1.0]"
20,5335.0,5.0,22,1.0,"[2368.0, 5764.0]","[1.0, 3917.0]","[2368.0, 5764.0, 2368.0, 5764.0]","[1.0, 3917.0, 1.0, 3917.0]"
21,5684.0,5.0,20,1.0,"[18657.0, 17089.0]","[1.0, 652.0]","[18657.0, 17089.0, 18657.0, 17089.0]","[1.0, 652.0, 1.0, 652.0]"
22,5868.0,5.0,19,1.0,"[22488.0, 16767.0]","[1.0, 1.0]","[22488.0, 16767.0, 22488.0, 16767.0]","[1.0, 1.0, 1.0, 1.0]"
23,5887.0,6.0,24,2.0,"[14541.0, 19770.0, 16912.0]","[1.0, 1.0, 1.0]","[14541.0, 19770.0, 16912.0, 14541.0]","[1.0, 1.0, 1.0, 1.0]"
24,5887.0,6.0,24,2.0,"[14541.0, 19770.0, 16912.0]","[1.0, 1.0, 1.0]","[16912.0, 14541.0, 19770.0, 16912.0]","[1.0, 1.0, 1.0, 1.0]"
25,5959.0,4.0,14,1.0,"[955.0, 3658.0]","[1.0, 1.0]","[955.0, 3658.0, 955.0, 3658.0]","[1.0, 1.0, 1.0, 1.0]"
26,6219.0,10.0,40,3.0,"[174.0, 15523.0]","[1.0, 1.0]","[174.0, 15523.0, 174.0, 15523.0]","[1.0, 1.0, 1.0, 1.0]"
27,6747.0,7.0,27,2.0,"[1239.0, 194.0]","[1.0, 1.0]","[1239.0, 194.0, 1239.0, 194.0]","[1.0, 1.0, 1.0, 1.0]"
28,6792.0,12.0,52,4.0,"[121.0, 19821.0]","[1.0, 36602.0]","[121.0, 19821.0, 121.0, 19821.0]","[1.0, 36602.0, 1.0, 36602.0]"
29,6980.0,8.0,35,2.0,"[653.0, 11681.0]","[67.0, 1.0]","[653.0, 11681.0, 653.0, 11681.0]","[67.0, 1.0, 67.0, 1.0]"
30,7248.0,11.0,45,3.0,"[20195.0, 18092.0]","[1.0, 1.0]","[20195.0, 18092.0, 20195.0, 18092.0]","[1.0, 1.0, 1.0, 1.0]"
31,7499.0,4.0,16,1.0,"[20667.0, 13222.0]","[2830.0, 1.0]","[20667.0, 13222.0, 20667.0, 13222.0]","[2830.0, 1.0, 2830.0, 1.0]"
32,8493.0,5.0,18,1.0,"[21425.0, 3710.0]","[1.0, 1.0]","[21425.0, 3710.0, 21425.0, 3710.0]","[1.0, 1.0, 1.0, 1.0]"
33,8791.0,12.0,49,4.0,"[18806.0, 18154.0]","[1.0, 1.0]","[18806.0, 18154.0, 18806.0, 18154.0]","[1.0, 1.0, 1.0, 1.0]"
34,8973.0,10.0,43,3.0,"[23418.0, 6139.0]","[1.0, 1.0]","[23418.0, 6139.0, 23418.0, 6139.0]","[1.0, 1.0, 1.0, 1.0]"
35,9020.0,4.0,17,1.0,"[3157.0, 10604.0]","[1.0, 1.0]","[3157.0, 10604.0, 3157.0, 10604.0]","[1.0, 1.0, 1.0, 1.0]"
36,9238.0,6.0,23,2.0,"[15146.0, 21789.0, 9309.0]","[1.0, 1.0, 1.0]","[15146.0, 21789.0, 9309.0, 15146.0]","[1.0, 1.0, 1.0, 1.0]"
37,9238.0,6.0,23,2.0,"[15146.0, 21789.0, 9309.0]","[1.0, 1.0, 1.0]","[9309.0, 15146.0, 21789.0, 9309.0]","[1.0, 1.0, 1.0, 1.0]"
38,9605.0,10.0,41,3.0,"[7998.0, 15117.0]","[1.0, 1.0]","[7998.0, 15117.0, 7998.0, 15117.0]","[1.0, 1.0, 1.0, 1.0]"
39,10366.0,2.0,05,4.0,"[27613.0, 22747.0]","[6937.0, 2560.0]","[27613.0, 22747.0, 27613.0, 22747.0]","[6937.0, 2560.0, 6937.0, 2560.0]"
40,10382.0,9.0,40,3.0,"[15413.0, 3842.0]","[1.0, 1.0]","[15413.0, 3842.0, 15413.0, 3842.0]","[1.0, 1.0, 1.0, 1.0]"
41,10555.0,5.0,19,1.0,"[26389.0, 20770.0, 20770.0, 6735.0]","[648.0, 1.0, 1.0, 1.0]","[26389.0, 20770.0, 20770.0, 6735.0]","[648.0, 1.0, 1.0, 1.0]"
42,10670.0,8.0,35,2.0,"[10026.0, 19992.0]","[1.0, 1.0]","[10026.0, 19992.0, 10026.0, 19992.0]","[1.0, 1.0, 1.0, 1.0]"
43,10918.0,1.0,02,4.0,"[26691.0, 21687.0]","[1.0, 1.0]","[26691.0, 21687.0, 26691.0, 21687.0]","[1.0, 1.0, 1.0, 1.0]"
44,11084.0,9.0,36,3.0,"[3697.0, 15968.0]","[1.0, 14.0]","[3697.0, 15968.0, 3697.0, 15968.0]","[1.0, 14.0, 1.0, 14.0]"
45,11134.0,5.0,18,1.0,"[20258.0, 18221.0]","[1.0, 1.0]","[20258.0, 18221.0, 20258.0, 18221.0]","[1.0, 1.0, 1.0, 1.0]"
46,11529.0,2.0,06,4.0,"[4493.0, 15767.0]","[6169.0, 1.0]","[4493.0, 15767.0, 4493.0, 15767.0]","[6169.0, 1.0, 6169.0, 1.0]"
47,11862.0,4.0,15,1.0,"[26601.0, 7643.0]","[1.0, 1.0]","[26601.0, 7643.0, 26601.0, 7643.0]","[1.0, 1.0, 1.0, 1.0]"
48,12091.0,3.0,12,1.0,"[14491.0, 22168.0]","[1.0, 1.0]","[14491.0, 22168.0, 14491.0, 22168.0]","[1.0, 1.0, 1.0, 1.0]"
49,12654.0,4.0,15,1.0,"[26625.0, 15093.0]","[1.0, 1.0]","[26625.0, 15093.0, 26625.0, 15093.0]","[1.0, 1.0, 1.0, 1.0]"
50,12759.0,1.0,03,4.0,"[24971.0, 7848.0]","[1.0, 1.0]","[24971.0, 7848.0, 24971.0, 7848.0]","[1.0, 1.0, 1.0, 1.0]"
51,12985.0,12.0,51,4.0,"[22436.0, 18311.0, 19908.0]","[1.0, 1.0, 40.0]","[22436.0, 18311.0, 19908.0, 22436.0]","[1.0, 1.0, 40.0, 1.0]"
52,12985.0,12.0,51,4.0,"[22436.0, 18311.0, 19908.0]","[1.0, 1.0, 40.0]","[19908.0, 22436.0, 18311.0, 19908.0]","[40.0, 1.0, 1.0, 40.0]"
53,13331.0,1.0,05,4.0,"[3809.0, 26591.0]","[1.0, 1.0]","[3809.0, 26591.0, 3809.0, 26591.0]","[1.0, 1.0, 1.0, 1.0]"
54,13441.0,8.0,33,2.0,"[2184.0, 11728.0]","[1.0, 1.0]","[2184.0, 11728.0, 2184.0, 11728.0]","[1.0, 1.0, 1.0, 1.0]"
55,13679.0,4.0,15,1.0,"[23351.0, 26062.0]","[1.0, 1.0]","[23351.0, 26062.0, 23351.0, 26062.0]","[1.0, 1.0, 1.0, 1.0]"
56,13697.0,4.0,16,1.0,"[13614.0, 24622.0]","[1.0, 1.0]","[13614.0, 24622.0, 13614.0, 24622.0]","[1.0, 1.0, 1.0, 1.0]"
57,13856.0,5.0,21,1.0,"[13709.0, 27831.0]","[1.0, 1.0]","[13709.0, 27831.0, 13709.0, 27831.0]","[1.0, 1.0, 1.0, 1.0]"
58,14016.0,10.0,42,3.0,"[3881.0, 2153.0]","[1.0, 1.0]","[3881.0, 2153.0, 3881.0, 2153.0]","[1.0, 1.0, 1.0, 1.0]"
59,14121.0,12.0,51,4.0,"[914.0, 7619.0]","[1.0, 1.0]","[914.0, 7619.0, 914.0, 7619.0]","[1.0, 1.0, 1.0, 1.0]"
60,14758.0,2.0,06,4.0,"[1944.0, 3102.0]","[502.0, 1.0]","[1944.0, 3102.0, 1944.0, 3102.0]","[502.0, 1.0, 502.0, 1.0]"
61,15168.0,3.0,12,1.0,"[11073.0, 10924.0]","[1.0, 256.0]","[11073.0, 10924.0, 11073.0, 10924.0]","[1.0, 256.0, 1.0, 256.0]"
62,16140.0,5.0,21,1.0,"[7640.0, 2424.0]","[1080.0, 1.0]","[7640.0, 2424.0, 7640.0, 2424.0]","[1080.0, 1.0, 1080.0, 1.0]"
63,16158.0,12.0,49,4.0,"[4222.0, 8845.0]","[1.0, 1.0]","[4222.0, 8845.0, 4222.0, 8845.0]","[1.0, 1.0, 1.0, 1.0]"
64,17196.0,4.0,16,1.0,"[24939.0, 24939.0]","[288.0, 1.0]","[24939.0, 24939.0, 24939.0, 24939.0]","[288.0, 1.0, 288.0, 1.0]"
65,17722.0,4.0,15,1.0,"[11455.0, 16660.0]","[1.0, 1.0]","[11455.0, 16660.0, 11455.0, 16660.0]","[1.0, 1.0, 1.0, 1.0]"
66,18306.0,11.0,48,3.0,"[20070.0, 1902.0]","[1.0, 1.0]","[20070.0, 1902.0, 20070.0, 1902.0]","[1.0, 1.0, 1.0, 1.0]"
67,18978.0,6.0,23,2.0,"[17510.0, 16089.0]","[1.0, 1.0]","[17510.0, 16089.0, 17510.0, 16089.0]","[1.0, 1.0, 1.0, 1.0]"
68,19073.0,5.0,19,1.0,"[15926.0, 7625.0]","[1.0, 1.0]","[15926.0, 7625.0, 15926.0, 7625.0]","[1.0, 1.0, 1.0, 1.0]"
69,19208.0,5.0,22,1.0,"[23180.0, 4123.0]","[184.0, 1.0]","[23180.0, 4123.0, 23180.0, 4123.0]","[184.0, 1.0, 184.0, 1.0]"
70,19307.0,7.0,27,2.0,"[10251.0, 19227.0]","[1.0, 1129.0]","[10251.0, 19227.0, 10251.0, 19227.0]","[1.0, 1129.0, 1.0, 1129.0]"
71,19416.0,11.0,48,3.0,"[3338.0, 26012.0]","[1.0, 1.0]","[3338.0, 26012.0, 3338.0, 26012.0]","[1.0, 1.0, 1.0, 1.0]"
72,20361.0,2.0,07,4.0,"[16187.0, 16187.0]","[1.0, 1.0]","[16187.0, 16187.0, 16187.0, 16187.0]","[1.0, 1.0, 1.0, 1.0]"
73,20840.0,4.0,17,1.0,"[6625.0, 18511.0]","[1.0, 1.0]","[6625.0, 18511.0, 6625.0, 18511.0]","[1.0, 1.0, 1.0, 1.0]"
74,20914.0,4.0,16,1.0,"[26601.0, 19427.0]","[1.0, 1.0]","[26601.0, 19427.0, 26601.0, 19427.0]","[1.0, 1.0, 1.0, 1.0]"
75,21037.0,5.0,19,1.0,"[2807.0, 16767.0]","[249.0, 1.0]","[2807.0, 16767.0, 2807.0, 16767.0]","[249.0, 1.0, 249.0, 1.0]"
76,22037.0,11.0,48,3.0,"[3119.0, 20949.0]","[1.0, 1.0]","[3119.0, 20949.0, 3119.0, 20949.0]","[1.0, 1.0, 1.0, 1.0]"
77,22460.0,6.0,23,2.0,"[2241.0, 14259.0, 18163.0, 14997.0]","[912.0, 1.0, 1.0, 1.0]","[2241.0, 14259.0, 18163.0, 14997.0]","[912.0, 1.0, 1.0, 1.0]"
78,22813.0,11.0,49,3.0,"[17557.0, 3571.0, 12588.0, 6447.0, 10165.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[17557.0, 3571.0, 12588.0, 6447.0]","[1.0, 1.0, 1.0, 1.0]"
79,22813.0,11.0,49,3.0,"[17557.0, 3571.0, 12588.0, 6447.0, 10165.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[3571.0, 12588.0, 6447.0, 10165.0]","[1.0, 1.0, 1.0, 1.0]"
80,22957.0,5.0,18,1.0,"[22515.0, 22665.0]","[1.0, 1.0]","[22515.0, 22665.0, 22515.0, 22665.0]","[1.0, 1.0, 1.0, 1.0]"
81,23035.0,10.0,42,3.0,"[3236.0, 8622.0]","[1.0, 1.0]","[3236.0, 8622.0, 3236.0, 8622.0]","[1.0, 1.0, 1.0, 1.0]"
82,23048.0,6.0,26,2.0,"[12705.0, 5868.0]","[1.0, 1.0]","[12705.0, 5868.0, 12705.0, 5868.0]","[1.0, 1.0, 1.0, 1.0]"
83,23288.0,5.0,19,1.0,"[797.0, 7963.0, 797.0]","[1.0, 1.0, 1.0]","[797.0, 7963.0, 797.0, 797.0]","[1.0, 1.0, 1.0, 1.0]"
84,23288.0,5.0,19,1.0,"[797.0, 7963.0, 797.0]","[1.0, 1.0, 1.0]","[797.0, 797.0, 7963.0, 797.0]","[1.0, 1.0, 1.0, 1.0]"
85,23695.0,9.0,38,3.0,"[18705.0, 27010.0]","[1.0, 1.0]","[18705.0, 27010.0, 18705.0, 27010.0]","[1.0, 1.0, 1.0, 1.0]"
86,23987.0,4.0,17,1.0,"[27873.0, 11378.0]","[1.0, 1.0]","[27873.0, 11378.0, 27873.0, 11378.0]","[1.0, 1.0, 1.0, 1.0]"
87,24017.0,11.0,48,3.0,"[9740.0, 9692.0, 17990.0, 6447.0, 13516.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[9740.0, 9692.0, 17990.0, 6447.0]","[1.0, 1.0, 1.0, 1.0]"
88,24017.0,11.0,48,3.0,"[9740.0, 9692.0, 17990.0, 6447.0, 13516.0]","[1.0, 1.0, 1.0, 1.0, 1.0]","[9692.0, 17990.0, 6447.0, 13516.0]","[1.0, 1.0, 1.0, 1.0]"
89,24158.0,10.0,44,3.0,"[13708.0, 15531.0, 17858.0]","[171.0, 1.0, 1.0]","[13708.0, 15531.0, 17858.0, 13708.0]","[171.0, 1.0, 1.0, 171.0]"
90,24158.0,10.0,44,3.0,"[13708.0, 15531.0, 17858.0]","[171.0, 1.0, 1.0]","[17858.0, 13708.0, 15531.0, 17858.0]","[1.0, 171.0, 1.0, 1.0]"
91,24235.0,4.0,14,1.0,"[27710.0, 12368.0, 4130.0, 4758.0]","[1.0, 1.0, 1.0, 1.0]","[27710.0, 12368.0, 4130.0, 4758.0]","[1.0, 1.0, 1.0, 1.0]"
92,24331.0,12.0,52,4.0,"[9980.0, 9980.0]","[1.0, 1.0]","[9980.0, 9980.0, 9980.0, 9980.0]","[1.0, 1.0, 1.0, 1.0]"
93,24352.0,4.0,15,1.0,"[22196.0, 22196.0, 2664.0, 5370.0]","[1.0, 1.0, 1.0, 1.0]","[22196.0, 22196.0, 2664.0, 5370.0]","[1.0, 1.0, 1.0, 1.0]"
94,24359.0,12.0,53,4.0,"[3422.0, 17624.0, 16020.0]","[380.0, 25.0, 1.0]","[3422.0, 17624.0, 16020.0, 3422.0]","[380.0, 25.0, 1.0, 380.0]"
95,24359.0,12.0,53,4.0,"[3422.0, 17624.0, 16020.0]","[380.0, 25.0, 1.0]","[16020.0, 3422.0, 17624.0, 16020.0]","[1.0, 380.0, 25.0, 1.0]"
96,24494.0,2.0,06,4.0,"[8406.0, 17916.0]","[1.0, 1.0]","[8406.0, 17916.0, 8406.0, 17916.0]","[1.0, 1.0, 1.0, 1.0]"
97,24653.0,5.0,20,1.0,"[18981.0, 19580.0]","[1.0, 1.0]","[18981.0, 19580.0, 18981.0, 19580.0]","[1.0, 1.0, 1.0, 1.0]"
98,25188.0,3.0,13,1.0,"[11621.0, 5900.0]","[1.0, 1.0]","[11621.0, 5900.0, 11621.0, 5900.0]","[1.0, 1.0, 1.0, 1.0]"
99,25718.0,8.0,33,2.0,"[27353.0, 1682.0]","[1.0, 1.0]","[27353.0, 1682.0, 27353.0, 1682.0]","[1.0, 1.0, 1.0, 1.0]"
100,25791.0,5.0,19,1.0,"[4063.0, 14971.0]","[1.0, 1.0]","[4063.0, 14971.0, 4063.0, 14971.0]","[1.0, 1.0, 1.0, 1.0]"
101,25922.0,5.0,19,1.0,"[22747.0, 2419.0]","[1.0, 1.0]","[22747.0, 2419.0, 22747.0, 2419.0]","[1.0, 1.0, 1.0, 1.0]"
102,26222.0,1.0,02,4.0,"[17804.0, 14819.0]","[1.0, 560.0]","[17804.0, 14819.0, 17804.0, 14819.0]","[1.0, 560.0, 1.0, 560.0]"
103,26427.0,1.0,04,4.0,"[15765.0, 5639.0]","[1.0, 1.0]","[15765.0, 5639.0, 15765.0, 5639.0]","[1.0, 1.0, 1.0, 1.0]"
104,26896.0,10.0,42,3.0,"[23285.0, 5075.0]","[1.0, 1.0]","[23285.0, 5075.0, 23285.0, 5075.0]","[1.0, 1.0, 1.0, 1.0]"
105,26957.0,7.0,27,2.0,"[27430.0, 8505.0]","[1.0, 1.0]","[27430.0, 8505.0, 27430.0, 8505.0]","[1.0, 1.0, 1.0, 1.0]"
106,27005.0,6.0,25,2.0,"[23075.0, 17390.0]","[1.0, 1.0]","[23075.0, 17390.0, 23075.0, 17390.0]","[1.0, 1.0, 1.0, 1.0]"
107,27135.0,11.0,48,3.0,"[2235.0, 19729.0]","[1.0, 1.0]","[2235.0, 19729.0, 2235.0, 19729.0]","[1.0, 1.0, 1.0, 1.0]"
108,27799.0,5.0,19,1.0,"[5264.0, 18324.0]","[1.0, 1.0]","[5264.0, 18324.0, 5264.0, 18324.0]","[1.0, 1.0, 1.0, 1.0]"
109,28268.0,4.0,13,1.0,"[16766.0, 17276.0]","[1.0, 1.0]","[16766.0, 17276.0, 16766.0, 17276.0]","[1.0, 1.0, 1.0, 1.0]"
110,28431.0,1.0,04,4.0,"[27409.0, 806.0]","[1.0, 1.0]","[27409.0, 806.0, 27409.0, 806.0]","[1.0, 1.0, 1.0, 1.0]"
111,28856.0,12.0,50,4.0,"[23009.0, 13562.0, 12893.0]","[1.0, 1.0, 1955.0]","[23009.0, 13562.0, 12893.0, 23009.0]","[1.0, 1.0, 1955.0, 1.0]"
112,28856.0,12.0,50,4.0,"[23009.0, 13562.0, 12893.0]","[1.0, 1.0, 1955.0]","[12893.0, 23009.0, 13562.0, 12893.0]","[1955.0, 1.0, 1.0, 1955.0]"
113,29608.0,8.0,32,2.0,"[3208.0, 4160.0]","[1.0, 975.0]","[3208.0, 4160.0, 3208.0, 4160.0]","[1.0, 975.0, 1.0, 975.0]"
114,29715.0,1.0,04,4.0,"[14928.0, 14798.0]","[1.0, 1.0]","[14928.0, 14798.0, 14928.0, 14798.0]","[1.0, 1.0, 1.0, 1.0]"
115,29977.0,10.0,43,3.0,"[19130.0, 8004.0, 3094.0]","[1.0, 1.0, 284.0]","[19130.0, 8004.0, 3094.0, 19130.0]","[1.0, 1.0, 284.0, 1.0]"
116,29977.0,10.0,43,3.0,"[19130.0, 8004.0, 3094.0]","[1.0, 1.0, 284.0]","[3094.0, 19130.0, 8004.0, 3094.0]","[284.0, 1.0, 1.0, 284.0]"
117,30005.0,4.0,17,1.0,"[4734.0, 16878.0]","[1.0, 1.0]","[4734.0, 16878.0, 4734.0, 16878.0]","[1.0, 1.0, 1.0, 1.0]"
118,30753.0,3.0,11,1.0,"[8981.0, 26836.0]","[430.0, 213.0]","[8981.0, 26836.0, 8981.0, 26836.0]","[430.0, 213.0, 430.0, 213.0]"
119,31025.0,5.0,22,1.0,"[1515.0, 16877.0]","[72.0, 1.0]","[1515.0, 16877.0, 1515.0, 16877.0]","[72.0, 1.0, 72.0, 1.0]"
120,31360.0,1.0,03,4.0,"[22949.0, 500.0, 4989.0]","[1.0, 1.0, 1.0]","[22949.0, 500.0, 4989.0, 22949.0]","[1.0, 1.0, 1.0, 1.0]"
121,31360.0,1.0,03,4.0,"[22949.0, 500.0, 4989.0]","[1.0, 1.0, 1.0]","[4989.0, 22949.0, 500.0, 4989.0]","[1.0, 1.0, 1.0, 1.0]"
122,31538.0,2.0,07,4.0,"[27463.0, 5981.0]","[120.0, 315.0]","[27463.0, 5981.0, 27463.0, 5981.0]","[120.0, 315.0, 120.0, 315.0]"
123,31553.0,6.0,24,2.0,"[11651.0, 22403.0]","[601.0, 1.0]","[11651.0, 22403.0, 11651.0, 22403.0]","[601.0, 1.0, 601.0, 1.0]"
124,31944.0,12.0,52,4.0,"[2824.0, 13086.0]","[1.0, 1.0]","[2824.0, 13086.0, 2824.0, 13086.0]","[1.0, 1.0, 1.0, 1.0]"
125,32073.0,2.0,07,4.0,"[25794.0, 26036.0]","[1.0, 546.0]","[25794.0, 26036.0, 25794.0, 26036.0]","[1.0, 546.0, 1.0, 546.0]"
126,32291.0,1.0,04,4.0,"[8861.0, 16626.0]","[1.0, 1.0]","[8861.0, 16626.0, 8861.0, 16626.0]","[1.0, 1.0, 1.0, 1.0]"
127,32550.0,4.0,14,1.0,"[19272.0, 20137.0]","[1.0, 1243.0]","[19272.0, 20137.0, 19272.0, 20137.0]","[1.0, 1243.0, 1.0, 1243.0]"
128,32646.0,8.0,35,2.0,"[1273.0, 5598.0]","[1.0, 1.0]","[1273.0, 5598.0, 1273.0, 5598.0]","[1.0, 1.0, 1.0, 1.0]"
129,32997.0,3.0,10,1.0,"[8956.0, 3362.0, 27134.0]","[1.0, 1.0, 104.0]","[8956.0, 3362.0, 27134.0, 8956.0]","[1.0, 1.0, 104.0, 1.0]"
130,32997.0,3.0,10,1.0,"[8956.0, 3362.0, 27134.0]","[1.0, 1.0, 104.0]","[27134.0, 8956.0, 3362.0, 27134.0]","[104.0, 1.0, 1.0, 104.0]"
131,33609.0,12.0,50,4.0,"[17487.0, 8090.0]","[1.0, 1.0]","[17487.0, 8090.0, 17487.0, 8090.0]","[1.0, 1.0, 1.0, 1.0]"
132,34208.0,9.0,36,3.0,"[12090.0, 11325.0]","[1.0, 1.0]","[12090.0, 11325.0, 12090.0, 11325.0]","[1.0, 1.0, 1.0, 1.0]"
133,34379.0,5.0,21,1.0,"[18492.0, 14825.0]","[1.0, 1.0]","[18492.0, 14825.0, 18492.0, 14825.0]","[1.0, 1.0, 1.0, 1.0]"
134,34428.0,8.0,35,2.0,"[21847.0, 15949.0]","[1.0, 1.0]","[21847.0, 15949.0, 21847.0, 15949.0]","[1.0, 1.0, 1.0, 1.0]"
135,34494.0,5.0,22,1.0,"[16314.0, 2018.0]","[185.0, 124.0]","[16314.0, 2018.0, 16314.0, 2018.0]","[185.0, 124.0, 185.0, 124.0]"
136,34767.0,7.0,27,2.0,"[27648.0, 16762.0]","[1.0, 1.0]","[27648.0, 16762.0, 27648.0, 16762.0]","[1.0, 1.0, 1.0, 1.0]"
137,35172.0,1.0,03,4.0,"[27973.0, 17151.0]","[1.0, 1.0]","[27973.0, 17151.0, 27973.0, 17151.0]","[1.0, 1.0, 1.0, 1.0]"
138,35925.0,11.0,48,3.0,"[457.0, 11501.0]","[47.0, 1.0]","[457.0, 11501.0, 457.0, 11501.0]","[47.0, 1.0, 47.0, 1.0]"
139,36054.0,1.0,04,4.0,"[18476.0, 4219.0]","[1.0, 1.0]","[18476.0, 4219.0, 18476.0, 4219.0]","[1.0, 1.0, 1.0, 1.0]"
140,36136.0,11.0,48,3.0,"[363.0, 15805.0]","[1.0, 1.0]","[363.0, 15805.0, 363.0, 15805.0]","[1.0, 1.0, 1.0, 1.0]"
141,36164.0,3.0,11,1.0,"[19786.0, 3287.0]","[1.0, 1.0]","[19786.0, 3287.0, 19786.0, 3287.0]","[1.0, 1.0, 1.0, 1.0]"
142,36371.0,1.0,05,4.0,"[19511.0, 23909.0]","[1.0, 1.0]","[19511.0, 23909.0, 19511.0, 23909.0]","[1.0, 1.0, 1.0, 1.0]"
143,36595.0,6.0,24,2.0,"[15287.0, 10303.0]","[34.0, 1.0]","[15287.0, 10303.0, 15287.0, 10303.0]","[34.0, 1.0, 34.0, 1.0]"
144,36761.0,12.0,53,4.0,"[27357.0, 21837.0]","[1.0, 1.0]","[27357.0, 21837.0, 27357.0, 21837.0]","[1.0, 1.0, 1.0, 1.0]"
145,36978.0,2.0,09,4.0,"[12360.0, 4942.0]","[1.0, 1.0]","[12360.0, 4942.0, 12360.0, 4942.0]","[1.0, 1.0, 1.0, 1.0]"
146,37049.0,6.0,24,2.0,"[26723.0, 11632.0]","[1.0, 1.0]","[26723.0, 11632.0, 26723.0, 11632.0]","[1.0, 1.0, 1.0, 1.0]"
147,37474.0,5.0,19,1.0,"[8367.0, 12619.0, 10933.0]","[1.0, 1.0, 1.0]","[8367.0, 12619.0, 10933.0, 8367.0]","[1.0, 1.0, 1.0, 1.0]"
148,37474.0,5.0,19,1.0,"[8367.0, 12619.0, 10933.0]","[1.0, 1.0, 1.0]","[10933.0, 8367.0, 12619.0, 10933.0]","[1.0, 1.0, 1.0, 1.0]"
149,37507.0,10.0,44,3.0,"[18272.0, 4485.0]","[1.0, 1.0]","[18272.0, 4485.0, 18272.0, 4485.0]","[1.0, 1.0, 1.0, 1.0]"
150,38680.0,1.0,01,4.0,"[8613.0, 18457.0]","[1.0, 1.0]","[8613.0, 18457.0, 8613.0, 18457.0]","[1.0, 1.0, 1.0, 1.0]"
